"document","topic","gamma"
"1927:TheRacket",1,0
"1927:TheRacket",2,0
"1927:TheRacket",3,0
"1927:TheRacket",4,0.104
"1927:TheRacket",5,0
"1927:TheRacket",6,0
"1927:TheRacket",7,0
"1927:TheRacket",8,0.009
"1927:TheRacket",9,0
"1927:TheRacket",10,0.07
"1927:TheRacket",11,0.438
"1927:TheRacket",12,0
"1927:TheRacket",13,0
"1927:TheRacket",14,0
"1927:TheRacket",15,0
"1927:TheRacket",16,0
"1927:TheRacket",17,0
"1927:TheRacket",18,0
"1927:TheRacket",19,0
"1927:TheRacket",20,0.001
"1927:TheRacket",21,0
"1927:TheRacket",22,0
"1927:TheRacket",23,0.004
"1927:TheRacket",24,0.011
"1927:TheRacket",25,0
"1927:TheRacket",26,0
"1927:TheRacket",27,0
"1927:TheRacket",28,0
"1927:TheRacket",29,0
"1927:TheRacket",30,0
"1927:TheRacket",31,0
"1927:TheRacket",32,0.001
"1927:TheRacket",33,0.065
"1927:TheRacket",34,0
"1927:TheRacket",35,0
"1927:TheRacket",36,0
"1927:TheRacket",37,0
"1927:TheRacket",38,0.007
"1927:TheRacket",39,0
"1927:TheRacket",40,0
"1927:TheRacket",41,0
"1927:TheRacket",42,0.014
"1927:TheRacket",43,0
"1927:TheRacket",44,0.093
"1927:TheRacket",45,0
"1927:TheRacket",46,0.024
"1927:TheRacket",47,0
"1927:TheRacket",48,0
"1927:TheRacket",49,0.157
"1927:TheRacket",50,0
"1928:InOldArizona",1,0
"1928:InOldArizona",2,0.016
"1928:InOldArizona",3,0
"1928:InOldArizona",4,0
"1928:InOldArizona",5,0.033
"1928:InOldArizona",6,0
"1928:InOldArizona",7,0
"1928:InOldArizona",8,0
"1928:InOldArizona",9,0
"1928:InOldArizona",10,0
"1928:InOldArizona",11,0.408
"1928:InOldArizona",12,0
"1928:InOldArizona",13,0
"1928:InOldArizona",14,0
"1928:InOldArizona",15,0.235
"1928:InOldArizona",16,0
"1928:InOldArizona",17,0
"1928:InOldArizona",18,0
"1928:InOldArizona",19,0
"1928:InOldArizona",20,0.002
"1928:InOldArizona",21,0.003
"1928:InOldArizona",22,0
"1928:InOldArizona",23,0.057
"1928:InOldArizona",24,0
"1928:InOldArizona",25,0
"1928:InOldArizona",26,0
"1928:InOldArizona",27,0
"1928:InOldArizona",28,0
"1928:InOldArizona",29,0.026
"1928:InOldArizona",30,0.058
"1928:InOldArizona",31,0
"1928:InOldArizona",32,0
"1928:InOldArizona",33,0
"1928:InOldArizona",34,0
"1928:InOldArizona",35,0
"1928:InOldArizona",36,0
"1928:InOldArizona",37,0
"1928:InOldArizona",38,0.07
"1928:InOldArizona",39,0
"1928:InOldArizona",40,0
"1928:InOldArizona",41,0
"1928:InOldArizona",42,0.077
"1928:InOldArizona",43,0
"1928:InOldArizona",44,0
"1928:InOldArizona",45,0
"1928:InOldArizona",46,0
"1928:InOldArizona",47,0.011
"1928:InOldArizona",48,0.002
"1928:InOldArizona",49,0
"1928:InOldArizona",50,0.001
