"","document","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","...52"
"1","1939:Dark Victory",0,0,0,0.035,0.009,0.252,0,0,0.026,0.013,0,0,0,0,0.009,0,0,0.005,0,0,0.174,0.204,0.031,0,0,0.083,0,0,0,0,0,0,0.013,0,0,0,0,0,0,0.061,0,0,0,0,0,0,0,0.07,0,0,17
"2","1939:Gone with the Wind",0.001,0.046,0,0,0,0.211,0,0,0,0.076,0,0,0,0,0.056,0.043,0.013,0.003,0,0.001,0.001,0,0,0,0.006,0,0.038,0,0.089,0.001,0,0.026,0.078,0.106,0.001,0,0,0,0.011,0,0,0,0,0,0,0,0,0.052,0,0.137,17
"3","1939:Goodbye, Mr. Chips",0.04,0,0,0,0,0.263,0.005,0,0.03,0,0,0,0,0.035,0,0.005,0,0,0.124,0.01,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.055,0,0.322,0,0.01,0,0.005,0,0.03,0,0,0,0,0.015,0,0.01,17
"4","1939:Love Affair",0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.183,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,21
"5","1939:Mr. Smith Goes to Washington",0.063,0.001,0.001,0.001,0.001,0.007,0.113,0.051,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.013,0.019,0.001,0.001,0.001,0.013,0.001,0.001,0.057,0.001,0.026,0.001,0.001,0.019,0.001,0.001,0.001,0.001,0.001,0.001,0.007,0.219,0.094,0.001,0.051,0.082,0.001,0.001,0.001,0.001,0.144,20
"6","1939:Ninotchka",0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.183,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,21
"7","1939:Of Mice and Men",0.001,0.009,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.035,0.001,0.001,0.001,0.001,0.001,0.001,0.165,0.001,0.208,0.001,0.001,0.035,0.001,0.001,0.001,0.001,0.354,0.009,0.001,0.001,0.001,0.001,0.001,0.009,0.001,0.053,0.001,0.001,0.001,0.001,0.001,0.001,0.053,0.001,0.001,0.027,0.001,0.001,0.001,0.009,6
"8","1939:Stagecoach",0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.183,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,21
"9","1939:The Wizard of Oz",0,0.019,0,0.019,0.074,0,0,0,0.023,0.347,0,0,0,0,0.014,0.005,0,0.032,0,0,0,0.183,0,0,0.115,0,0,0,0.023,0,0,0,0.01,0.092,0.005,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.014,8
"10","1939:Wuthering Heights",0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.183,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,21
"11","1940:All This, and Heaven Too",0.014,0.014,0.014,0.014,0.157,0.014,0.014,0.014,0.014,0.014,0.157,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,2
"12","1940:Foreign Correspondent",0.001,0.001,0.135,0.001,0.001,0.001,0.011,0.001,0.001,0.109,0.001,0.001,0.001,0.001,0.001,0.001,0.026,0.001,0.006,0.021,0.001,0.001,0.001,0.006,0.001,0.001,0.032,0.001,0.001,0.001,0.001,0.058,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.104,0.001,0.016,0.182,0.001,0.151,0.125,0.001,0.001,0.001,0.001,16
"13","1940:Kitty Foyle",0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.183,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,21
"14","1940:Our Town",0,0.005,0,0,0,0,0,0,0.01,0,0.007,0.003,0,0,0.042,0,0.17,0,0.056,0,0,0,0,0,0,0.068,0,0,0,0,0,0.026,0,0.35,0,0.019,0.075,0,0,0,0.003,0,0,0,0.012,0.007,0,0.007,0.128,0.005,9
"15","1940:Rebecca",0.001,0.001,0.034,0.001,0.012,0.231,0.001,0.001,0.061,0.001,0.001,0.017,0.012,0.001,0.006,0.023,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.006,0.001,0.001,0.001,0.001,0.001,0.001,0.187,0.012,0.001,0.006,0.001,0.001,0.001,0.001,0.001,0.012,0.017,0.001,0.083,0.001,0.264,0.001,0.001,0.001,0.001,17
"16","1940:The Grapes of Wrath",0.001,0.141,0.001,0.001,0.014,0.001,0.001,0.001,0.001,0.154,0.001,0.134,0.041,0.001,0.001,0.001,0.001,0.007,0.001,0.001,0.001,0.001,0.001,0.014,0.001,0.001,0.321,0.001,0.001,0.001,0.001,0.001,0.001,0.134,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.007,0.001,0.001,0.007,0.001,0.001,0.001,0.001,0.001,6
"17","1940:The Great Dictator",0,0.009,0,0,0,0,0,0,0,0.274,0,0,0,0,0.027,0.031,0,0,0,0.048,0,0,0,0,0,0.009,0,0,0.122,0,0,0.005,0.013,0,0,0,0,0,0,0.135,0,0.144,0,0,0.157,0.009,0,0,0,0,8
"18","1940:The Letter",0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.183,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,21
"19","1940:The Long Voyage Home",0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.183,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,2
"20","1940:The Philadelphia Story",0.001,0.011,0.011,0.001,0.001,0.246,0.177,0.011,0.021,0.001,0.001,0.001,0.001,0.03,0.001,0.001,0.03,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.226,0.001,0.001,0.079,0.001,0.001,0.06,0.001,0.001,0.011,0.001,0.001,0.001,0.001,0.001,0.03,0.011,0.001,0.001,0.011,0.001,0.001,0.001,17
"21","1941:49th Parallel",0.001,0.017,0.072,0.001,0.001,0.048,0.033,0.001,0.001,0.104,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.279,0.001,0.017,0.009,0.001,0.017,0.001,0.001,0.001,0.199,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.009,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.136,0.001,0.001,0.033,5
"22","1941:Blossoms in the Dust",0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.183,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,2
