"","topic","term","beta"
"1",1,"ann",3.39420270178535e-05
"2",2,"ann",3.55973230813043e-05
"3",3,"ann",2.58317834263278e-05
"4",4,"ann",5.86097761106553e-05
"5",5,"ann",7.59762953958366e-05
"6",6,"ann",1.35479325854875e-05
"7",7,"ann",3.87867504460476e-05
"8",8,"ann",8.37380673254062e-05
"9",9,"ann",4.96228662167527e-05
"10",10,"ann",1.4404655584685e-05
"11",11,"ann",4.16805601867289e-05
"12",12,"ann",2.72985367984276e-05
"13",13,"ann",0.000779478458049886
"14",14,"ann",3.86966953022212e-05
"15",15,"ann",1.18312392039942e-05
"16",16,"ann",4.47988531493594e-05
"17",17,"ann",6.29247420085578e-05
"18",18,"ann",4.20662964832576e-05
"19",19,"ann",3.99329127066528e-05
"20",20,"ann",3.89985180563139e-05
"21",21,"ann",0.189231510479403
"22",22,"ann",9.51275660660946e-06
"23",23,"ann",2.41826272006191e-05
"24",24,"ann",3.64936865922195e-05
"25",25,"ann",5.78302105019663e-05
"26",26,"ann",4.77281405116457e-05
"27",27,"ann",1.79849645696198e-05
"28",28,"ann",6.20655412115193e-05
"29",29,"ann",2.22756838634946e-05
"30",30,"ann",7.21917412647994e-05
"31",31,"ann",5.6554688383667e-05
"32",32,"ann",2.85534806692936e-05
"33",33,"ann",6.34437254155564e-05
"34",34,"ann",1.7342443897194e-05
"35",35,"ann",7.18803910293272e-05
"36",36,"ann",0.000400261989665963
"37",37,"ann",4.10981423639652e-05
"38",38,"ann",9.98801438274072e-05
"39",39,"ann",7.52898659840385e-05
"40",40,"ann",2.36283729502387e-05
"41",41,"ann",4.35881788858861e-05
"42",42,"ann",3.23603650249175e-05
"43",43,"ann",0.000686127744510978
"44",44,"ann",3.82087727342197e-05
"45",45,"ann",0.000765250346184681
"46",46,"ann",5.67794685441744e-05
"47",47,"ann",4.7523999619808e-05
"48",48,"ann",5.58596804826276e-05
"49",49,"ann",3.60334390314212e-05
"50",50,"ann",3.19877167167808e-05
"51",1,"hors",3.39420270178535e-05
"52",2,"hors",3.55973230813043e-05
"53",3,"hors",0.000284149617689605
"54",4,"hors",5.86097761106553e-05
"55",5,"hors",7.59762953958366e-05
"56",6,"hors",1.35479325854875e-05
"57",7,"hors",3.87867504460476e-05
"58",8,"hors",8.37380673254062e-05
"59",9,"hors",4.96228662167527e-05
"60",10,"hors",1.4404655584685e-05
"61",11,"hors",4.16805601867289e-05
"62",12,"hors",2.72985367984276e-05
"63",13,"hors",7.08616780045352e-05
"64",14,"hors",3.86966953022212e-05
"65",15,"hors",1.18312392039942e-05
"66",16,"hors",4.47988531493594e-05
"67",17,"hors",0.000692172162094136
"68",18,"hors",4.20662964832576e-05
"69",19,"hors",0.00123792029390624
"70",20,"hors",3.89985180563139e-05
"71",21,"hors",0.00012045290291496
"72",22,"hors",9.51275660660946e-06
"73",23,"hors",2.41826272006191e-05
"74",24,"hors",3.64936865922195e-05
"75",25,"hors",5.78302105019663e-05
"76",26,"hors",4.77281405116457e-05
"77",27,"hors",1.79849645696198e-05
"78",28,"hors",6.20655412115193e-05
"79",29,"hors",2.22756838634946e-05
"80",30,"hors",7.21917412647994e-05
"81",31,"hors",5.6554688383667e-05
"82",32,"hors",2.85534806692936e-05
"83",33,"hors",6.34437254155564e-05
"84",34,"hors",1.7342443897194e-05
"85",35,"hors",7.18803910293272e-05
"86",36,"hors",3.63874536059966e-05
"87",37,"hors",4.10981423639652e-05
"88",38,"hors",9.98801438274072e-05
"89",39,"hors",7.52898659840385e-05
"90",40,"hors",2.36283729502387e-05
"91",41,"hors",4.35881788858861e-05
"92",42,"hors",3.23603650249175e-05
"93",43,"hors",6.23752495009981e-05
"94",44,"hors",0.000420296500076418
"95",45,"hors",3.6440492675461e-05
"96",46,"hors",5.67794685441744e-05
"97",47,"hors",4.7523999619808e-05
"98",48,"hors",0.109540833426433
"99",49,"hors",3.60334390314212e-05
"100",50,"hors",3.19877167167808e-05
"101",1,"offic",0.0122530717534451
"102",2,"offic",3.55973230813043e-05
"103",3,"offic",0.020174622855962
"104",4,"offic",5.86097761106553e-05
"105",5,"offic",0.00159550220331257
"106",6,"offic",1.35479325854875e-05
"107",7,"offic",3.87867504460476e-05
"108",8,"offic",0.00175849941383353
"109",9,"offic",4.96228662167527e-05
"110",10,"offic",1.4404655584685e-05
"111",11,"offic",4.16805601867289e-05
"112",12,"offic",2.72985367984276e-05
"113",13,"offic",7.08616780045352e-05
"114",14,"offic",0.000425663648324433
"115",15,"offic",1.18312392039942e-05
"116",16,"offic",0.000492787384642953
"117",17,"offic",6.29247420085578e-05
"118",18,"offic",4.20662964832576e-05
