"","decade","sentiment","n"
"1",1925,"anger",1092
"2",1925,"anticipation",1090
"3",1925,"disgust",578
"4",1925,"fear",1445
"5",1925,"joy",972
"6",1925,"sadness",1195
"7",1925,"surprise",737
"8",1925,"trust",1648
"9",1930,"anger",2877
"10",1930,"anticipation",3849
"11",1930,"disgust",1700
"12",1930,"fear",3552
"13",1930,"joy",3395
"14",1930,"sadness",3292
"15",1930,"surprise",2516
"16",1930,"trust",5049
"17",1935,"anger",8626
"18",1935,"anticipation",8435
"19",1935,"disgust",4708
"20",1935,"fear",10664
"21",1935,"joy",7344
"22",1935,"sadness",8375
"23",1935,"surprise",6720
"24",1935,"trust",13252
"25",1940,"anger",5348
"26",1940,"anticipation",7287
"27",1940,"disgust",3000
"28",1940,"fear",6671
"29",1940,"joy",6104
"30",1940,"sadness",6313
"31",1940,"surprise",4742
"32",1940,"trust",10494
"33",1945,"anger",3387
"34",1945,"anticipation",4416
"35",1945,"disgust",2123
"36",1945,"fear",3826
"37",1945,"joy",4051
"38",1945,"sadness",3826
"39",1945,"surprise",2917
"40",1945,"trust",7189
"41",1950,"anger",4010
"42",1950,"anticipation",4238
"43",1950,"disgust",2299
"44",1950,"fear",4654
"45",1950,"joy",3924
"46",1950,"sadness",4254
"47",1950,"surprise",3063
"48",1950,"trust",6109
"49",1955,"anger",3324
"50",1955,"anticipation",3954
"51",1955,"disgust",2125
"52",1955,"fear",4471
"53",1955,"joy",3646
"54",1955,"sadness",3802
"55",1955,"surprise",2238
"56",1955,"trust",6489
"57",1960,"anger",5548
"58",1960,"anticipation",5505
"59",1960,"disgust",2797
"60",1960,"fear",6520
"61",1960,"joy",4713
"62",1960,"sadness",5549
"63",1960,"surprise",4450
"64",1960,"trust",8661
"65",1965,"anger",3595
"66",1965,"anticipation",3960
"67",1965,"disgust",2292
"68",1965,"fear",4636
"69",1965,"joy",3727
"70",1965,"sadness",3733
"71",1965,"surprise",3016
"72",1965,"trust",5450
"73",1970,"anger",4810
"74",1970,"anticipation",4688
"75",1970,"disgust",2778
"76",1970,"fear",5476
"77",1970,"joy",4363
"78",1970,"sadness",4755
"79",1970,"surprise",3827
"80",1970,"trust",7240
"81",1975,"anger",8919
"82",1975,"anticipation",8212
"83",1975,"disgust",4355
"84",1975,"fear",10056
"85",1975,"joy",6850
"86",1975,"sadness",7726
"87",1975,"surprise",6454
"88",1975,"trust",10291
"89",1980,"anger",5169
"90",1980,"anticipation",5777
"91",1980,"disgust",2868
"92",1980,"fear",6267
"93",1980,"joy",5248
"94",1980,"sadness",5245
"95",1980,"surprise",4236
"96",1980,"trust",7977
"97",1985,"anger",4943
"98",1985,"anticipation",5209
"99",1985,"disgust",2623
"100",1985,"fear",5647
"101",1985,"joy",5004
"102",1985,"sadness",5084
"103",1985,"surprise",4277
"104",1985,"trust",6977
"105",1990,"anger",7865
"106",1990,"anticipation",6482
"107",1990,"disgust",3664
"108",1990,"fear",8907
"109",1990,"joy",5549
"110",1990,"sadness",6597
"111",1990,"surprise",5313
"112",1990,"trust",10204
"113",1995,"anger",7930
"114",1995,"anticipation",7652
"115",1995,"disgust",4026
"116",1995,"fear",9098
"117",1995,"joy",6845
"118",1995,"sadness",7435
"119",1995,"surprise",6113
"120",1995,"trust",10343
"121",2000,"anger",6406
"122",2000,"anticipation",5863
"123",2000,"disgust",3618
"124",2000,"fear",7749
"125",2000,"joy",5107
"126",2000,"sadness",6029
"127",2000,"surprise",4476
"128",2000,"trust",8182
"129",2005,"anger",7473
"130",2005,"anticipation",7724
"131",2005,"disgust",3815
"132",2005,"fear",8939
"133",2005,"joy",6558
"134",2005,"sadness",7334
"135",2005,"surprise",5821
"136",2005,"trust",10656
"137",2010,"anger",13308
"138",2010,"anticipation",13813
"139",2010,"disgust",6468
"140",2010,"fear",14859
"141",2010,"joy",11941
"142",2010,"sadness",12455
"143",2010,"surprise",9646
"144",2010,"trust",18105
"145",2015,"anger",12201
"146",2015,"anticipation",12359
"147",2015,"disgust",5861
"148",2015,"fear",13709
"149",2015,"joy",10790
"150",2015,"sadness",11450
"151",2015,"surprise",9079
"152",2015,"trust",16540
"153",2020,"anger",1812
"154",2020,"anticipation",2171
"155",2020,"disgust",963
"156",2020,"fear",2344
"157",2020,"joy",1856
"158",2020,"sadness",1754
"159",2020,"surprise",1481
"160",2020,"trust",2945
