"","document","topic","gamma"
"1","1939:Dark Victory",1,0
"2","1939:Dark Victory",2,0
"3","1939:Dark Victory",3,0
"4","1939:Dark Victory",4,0.035
"5","1939:Dark Victory",5,0.009
"6","1939:Dark Victory",6,0.252
"7","1939:Dark Victory",7,0
"8","1939:Dark Victory",8,0
"9","1939:Dark Victory",9,0.026
"10","1939:Dark Victory",10,0.013
"11","1939:Dark Victory",11,0
"12","1939:Dark Victory",12,0
"13","1939:Dark Victory",13,0
"14","1939:Dark Victory",14,0
"15","1939:Dark Victory",15,0.009
"16","1939:Dark Victory",16,0
"17","1939:Dark Victory",17,0
"18","1939:Dark Victory",18,0.005
"19","1939:Dark Victory",19,0
"20","1939:Dark Victory",20,0
"21","1939:Dark Victory",21,0.174
"22","1939:Dark Victory",22,0.204
"23","1939:Dark Victory",23,0.031
"24","1939:Dark Victory",24,0
"25","1939:Dark Victory",25,0
"26","1939:Dark Victory",26,0.083
"27","1939:Dark Victory",27,0
"28","1939:Dark Victory",28,0
"29","1939:Dark Victory",29,0
"30","1939:Dark Victory",30,0
"31","1939:Dark Victory",31,0
"32","1939:Dark Victory",32,0
"33","1939:Dark Victory",33,0.013
"34","1939:Dark Victory",34,0
"35","1939:Dark Victory",35,0
"36","1939:Dark Victory",36,0
"37","1939:Dark Victory",37,0
"38","1939:Dark Victory",38,0
"39","1939:Dark Victory",39,0
"40","1939:Dark Victory",40,0.061
"41","1939:Dark Victory",41,0
"42","1939:Dark Victory",42,0
"43","1939:Dark Victory",43,0
"44","1939:Dark Victory",44,0
"45","1939:Dark Victory",45,0
"46","1939:Dark Victory",46,0
"47","1939:Dark Victory",47,0
"48","1939:Dark Victory",48,0.07
"49","1939:Dark Victory",49,0
"50","1939:Dark Victory",50,0
"51","1939:Gone with the Wind",1,0.001
"52","1939:Gone with the Wind",2,0.046
"53","1939:Gone with the Wind",3,0
"54","1939:Gone with the Wind",4,0
"55","1939:Gone with the Wind",5,0
"56","1939:Gone with the Wind",6,0.211
"57","1939:Gone with the Wind",7,0
"58","1939:Gone with the Wind",8,0
"59","1939:Gone with the Wind",9,0
"60","1939:Gone with the Wind",10,0.076
"61","1939:Gone with the Wind",11,0
"62","1939:Gone with the Wind",12,0
"63","1939:Gone with the Wind",13,0
"64","1939:Gone with the Wind",14,0
"65","1939:Gone with the Wind",15,0.056
"66","1939:Gone with the Wind",16,0.043
"67","1939:Gone with the Wind",17,0.013
"68","1939:Gone with the Wind",18,0.003
"69","1939:Gone with the Wind",19,0
