"document","topic","gamma"
"1939:Dark Victory",1,0
"1939:Dark Victory",2,0
"1939:Dark Victory",3,0
"1939:Dark Victory",4,0.035
"1939:Dark Victory",5,0.009
"1939:Dark Victory",6,0.252
"1939:Dark Victory",7,0
"1939:Dark Victory",8,0
"1939:Dark Victory",9,0.026
"1939:Dark Victory",10,0.013
"1939:Dark Victory",11,0
"1939:Dark Victory",12,0
"1939:Dark Victory",13,0
"1939:Dark Victory",14,0
"1939:Dark Victory",15,0.009
"1939:Dark Victory",16,0
"1939:Dark Victory",17,0
"1939:Dark Victory",18,0.005
"1939:Dark Victory",19,0
"1939:Dark Victory",20,0
"1939:Dark Victory",21,0.174
"1939:Dark Victory",22,0.204
"1939:Dark Victory",23,0.031
"1939:Dark Victory",24,0
"1939:Dark Victory",25,0
"1939:Dark Victory",26,0.083
"1939:Dark Victory",27,0
"1939:Dark Victory",28,0
"1939:Dark Victory",29,0
"1939:Dark Victory",30,0
"1939:Dark Victory",31,0
"1939:Dark Victory",32,0
"1939:Dark Victory",33,0.013
"1939:Dark Victory",34,0
"1939:Dark Victory",35,0
"1939:Dark Victory",36,0
"1939:Dark Victory",37,0
"1939:Dark Victory",38,0
"1939:Dark Victory",39,0
"1939:Dark Victory",40,0.061
"1939:Dark Victory",41,0
"1939:Dark Victory",42,0
"1939:Dark Victory",43,0
"1939:Dark Victory",44,0
"1939:Dark Victory",45,0
"1939:Dark Victory",46,0
"1939:Dark Victory",47,0
"1939:Dark Victory",48,0.07
"1939:Dark Victory",49,0
"1939:Dark Victory",50,0
"1939:Gone with the Wind",1,0.001
"1939:Gone with the Wind",2,0.046
"1939:Gone with the Wind",3,0
"1939:Gone with the Wind",4,0
"1939:Gone with the Wind",5,0
"1939:Gone with the Wind",6,0.211
"1939:Gone with the Wind",7,0
"1939:Gone with the Wind",8,0
"1939:Gone with the Wind",9,0
"1939:Gone with the Wind",10,0.076
"1939:Gone with the Wind",11,0
"1939:Gone with the Wind",12,0
"1939:Gone with the Wind",13,0
"1939:Gone with the Wind",14,0
"1939:Gone with the Wind",15,0.056
"1939:Gone with the Wind",16,0.043
"1939:Gone with the Wind",17,0.013
"1939:Gone with the Wind",18,0.003
"1939:Gone with the Wind",19,0
"1939:Gone with the Wind",20,0.001
"1939:Gone with the Wind",21,0.001
"1939:Gone with the Wind",22,0
"1939:Gone with the Wind",23,0
"1939:Gone with the Wind",24,0
"1939:Gone with the Wind",25,0.006
"1939:Gone with the Wind",26,0
"1939:Gone with the Wind",27,0.038
"1939:Gone with the Wind",28,0
"1939:Gone with the Wind",29,0.089
"1939:Gone with the Wind",30,0.001
"1939:Gone with the Wind",31,0
"1939:Gone with the Wind",32,0.026
"1939:Gone with the Wind",33,0.078
"1939:Gone with the Wind",34,0.106
"1939:Gone with the Wind",35,0.001
"1939:Gone with the Wind",36,0
"1939:Gone with the Wind",37,0
"1939:Gone with the Wind",38,0
"1939:Gone with the Wind",39,0.011
"1939:Gone with the Wind",40,0
"1939:Gone with the Wind",41,0
"1939:Gone with the Wind",42,0
"1939:Gone with the Wind",43,0
"1939:Gone with the Wind",44,0
"1939:Gone with the Wind",45,0
"1939:Gone with the Wind",46,0
"1939:Gone with the Wind",47,0
"1939:Gone with the Wind",48,0.052
"1939:Gone with the Wind",49,0
"1939:Gone with the Wind",50,0.137
"1939:Goodbye, Mr. Chips",1,0.04
"1939:Goodbye, Mr. Chips",2,0
"1939:Goodbye, Mr. Chips",3,0
"1939:Goodbye, Mr. Chips",4,0
"1939:Goodbye, Mr. Chips",5,0
"1939:Goodbye, Mr. Chips",6,0.263
"1939:Goodbye, Mr. Chips",7,0.005
"1939:Goodbye, Mr. Chips",8,0
"1939:Goodbye, Mr. Chips",9,0.03
"1939:Goodbye, Mr. Chips",10,0
"1939:Goodbye, Mr. Chips",11,0
"1939:Goodbye, Mr. Chips",12,0
"1939:Goodbye, Mr. Chips",13,0
"1939:Goodbye, Mr. Chips",14,0.035
"1939:Goodbye, Mr. Chips",15,0
"1939:Goodbye, Mr. Chips",16,0.005
"1939:Goodbye, Mr. Chips",17,0
"1939:Goodbye, Mr. Chips",18,0
"1939:Goodbye, Mr. Chips",19,0.124
"1939:Goodbye, Mr. Chips",20,0.01
"1939:Goodbye, Mr. Chips",21,0.01
"1939:Goodbye, Mr. Chips",22,0
"1939:Goodbye, Mr. Chips",23,0
"1939:Goodbye, Mr. Chips",24,0
"1939:Goodbye, Mr. Chips",25,0
"1939:Goodbye, Mr. Chips",26,0
"1939:Goodbye, Mr. Chips",27,0
"1939:Goodbye, Mr. Chips",28,0
"1939:Goodbye, Mr. Chips",29,0.01
"1939:Goodbye, Mr. Chips",30,0
"1939:Goodbye, Mr. Chips",31,0
"1939:Goodbye, Mr. Chips",32,0
"1939:Goodbye, Mr. Chips",33,0
"1939:Goodbye, Mr. Chips",34,0
"1939:Goodbye, Mr. Chips",35,0.055
"1939:Goodbye, Mr. Chips",36,0
"1939:Goodbye, Mr. Chips",37,0.322
"1939:Goodbye, Mr. Chips",38,0
"1939:Goodbye, Mr. Chips",39,0.01
"1939:Goodbye, Mr. Chips",40,0
"1939:Goodbye, Mr. Chips",41,0.005
"1939:Goodbye, Mr. Chips",42,0
"1939:Goodbye, Mr. Chips",43,0.03
"1939:Goodbye, Mr. Chips",44,0
"1939:Goodbye, Mr. Chips",45,0
"1939:Goodbye, Mr. Chips",46,0
"1939:Goodbye, Mr. Chips",47,0
"1939:Goodbye, Mr. Chips",48,0.015
"1939:Goodbye, Mr. Chips",49,0
"1939:Goodbye, Mr. Chips",50,0.01
"1939:Love Affair",1,0.017
"1939:Love Affair",2,0.017
"1939:Love Affair",3,0.017
"1939:Love Affair",4,0.017
"1939:Love Affair",5,0.017
