"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49"
"1",0,0,0,0.104,0,0,0,0.009,0,0.07,0.438,0,0,0,0,0,0,0,0,0.001,0,0,0.004,0.011,0,0,0,0,0,0,0,0.001,0.065,0,0,0,0,0.007,0,0,0,0.014,0,0.093,0,0.024,0,0,0.157
"2",0,0.016,0,0,0.033,0,0,0,0,0,0.408,0,0,0,0.235,0,0,0,0,0.002,0.003,0,0.057,0,0,0,0,0,0.026,0.058,0,0,0,0,0,0,0,0.07,0,0,0,0.077,0,0,0,0,0.011,0.002,0
"3",0,0,0,0,0.001,0,0,0.004,0,0,0.463,0,0,0,0,0,0,0,0.22,0,0,0.004,0,0.015,0,0.009,0,0,0,0,0,0,0,0.009,0,0.001,0,0,0,0,0,0.269,0.002,0,0,0,0,0,0
"4",0,0.07,0,0.035,0,0,0,0,0,0.001,0,0,0,0.103,0,0,0.154,0,0,0,0,0.051,0.358,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0,0
"5",0,0.018,0,0.056,0,0,0,0,0.004,0,0.243,0,0,0,0,0,0,0.001,0,0.019,0,0.126,0.235,0,0,0,0,0,0.011,0.001,0,0,0,0,0.001,0,0,0.058,0.126,0,0,0.061,0,0.001,0,0,0.035,0,0
"6",0,0.01,0,0.013,0,0.002,0,0,0,0,0.598,0,0.001,0,0,0.001,0.001,0,0,0,0,0.011,0.029,0,0.102,0,0,0.032,0.002,0.018,0,0,0,0,0,0,0,0.018,0.018,0,0,0.063,0.017,0,0,0,0.016,0.007,0
"7",0,0,0.016,0.084,0,0.006,0.02,0,0.001,0,0.225,0.002,0,0,0,0,0,0,0.005,0,0.001,0.028,0,0,0,0,0.001,0.006,0,0,0,0,0,0,0.002,0,0,0.065,0.003,0,0,0.488,0,0,0,0.023,0,0,0.007
"8",0.001,0.202,0,0.072,0,0,0.001,0.043,0,0,0.146,0,0,0.003,0,0,0.001,0,0,0.051,0.005,0.039,0,0,0,0,0.003,0.028,0.004,0,0.02,0,0,0,0,0.008,0,0.065,0,0.001,0,0.106,0,0.01,0.001,0.103,0,0,0.085
"9",0,0,0,0.09,0.001,0,0.002,0,0,0,0.022,0,0,0.223,0,0.002,0,0,0.046,0.003,0,0,0,0,0,0,0,0,0,0,0.009,0,0,0.007,0,0,0,0.114,0.009,0.007,0.055,0.011,0.391,0,0,0.008,0,0,0
"10",0.007,0,0,0,0,0.004,0,0,0,0.05,0.299,0,0,0.002,0,0,0,0,0,0,0,0.016,0.001,0,0.01,0,0,0,0,0.206,0.015,0,0.054,0,0,0,0.009,0.002,0.031,0,0.03,0.084,0.023,0.068,0.002,0,0,0,0.052
"11",0,0,0,0.14,0.007,0,0.027,0,0,0.002,0.229,0,0,0,0.001,0,0,0,0.002,0.024,0,0,0.016,0,0,0,0.002,0.016,0,0.001,0,0,0.008,0,0,0,0,0.053,0.023,0.035,0.249,0.154,0,0,0,0,0,0.009,0
"12",0,0,0.014,0,0,0.003,0,0.001,0,0,0.497,0.001,0.007,0,0,0,0,0,0,0,0.001,0.04,0,0,0,0,0,0,0,0.11,0.001,0,0,0,0.001,0,0,0.001,0,0,0.028,0.248,0.043,0,0,0,0,0,0
"13",0,0,0,0.094,0,0,0.001,0,0,0,0,0,0,0,0.145,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0.005,0.105,0.002,0,0,0.569,0,0.034,0,0,0,0,0.03
"14",0,0,0,0.286,0.025,0,0.038,0,0,0,0.127,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0.058,0,0,0.001,0,0.001,0,0.286,0.067,0,0.005,0.097,0,0,0,0,0,0,0
"15",0,0,0,0.034,0,0,0.001,0,0,0,0.337,0.001,0,0,0.001,0,0,0,0.006,0.021,0,0.053,0,0,0.001,0.005,0.01,0,0.12,0.066,0.001,0,0,0.001,0,0.205,0.001,0,0,0,0.01,0.121,0,0,0,0,0,0,0
"16",0,0,0,0.113,0,0.004,0,0.002,0,0,0.05,0,0,0,0,0.004,0,0,0,0.222,0,0,0.036,0,0,0.014,0,0,0,0,0,0.025,0,0.034,0,0,0,0.081,0,0,0,0.372,0.006,0,0,0.004,0,0,0.025
"17",0,0,0,0.065,0,0,0,0.022,0,0,0.471,0,0,0,0,0,0,0,0.191,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0.002,0.001,0,0,0,0,0,0,0.044,0.133,0.047,0.006,0.002,0,0.008,0,0.001
"18",0,0,0,0.053,0,0,0,0,0,0,0.09,0.018,0,0,0.003,0,0.006,0,0,0,0,0.107,0.078,0.003,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0.044,0.137,0.007,0.068,0.353,0,0,0,0,0.007,0,0
"19",0.001,0,0.001,0.037,0,0.001,0.08,0,0,0.001,0.049,0,0.003,0,0.147,0,0,0,0,0.001,0,0.057,0.062,0,0,0,0,0,0,0.016,0.007,0,0,0.036,0,0,0.001,0.091,0.063,0,0,0.333,0,0,0,0,0.004,0.006,0
"20",0,0,0,0.163,0,0,0,0.009,0.001,0.006,0.453,0,0,0,0.001,0.001,0,0,0,0.029,0.006,0,0.048,0.001,0.069,0,0,0,0,0,0.009,0,0,0,0,0,0,0.006,0.021,0,0,0.059,0,0.043,0,0.033,0,0.019,0.022
"21",0,0,0,0.064,0,0,0.001,0,0,0.034,0.354,0,0,0,0,0,0,0,0.026,0.016,0,0.09,0,0,0,0.002,0,0,0.001,0.01,0,0,0,0,0,0,0,0.069,0,0.001,0,0.138,0,0.036,0.004,0.054,0,0.098,0
