"","document"
"1","1927:TheRacket"
"2","1928:InOldArizona"
"3","1928:TheBroadwayMelody"
"4","1928:ThePatriot"
"5","1929:AllQuietontheWesternFront"
"6","1929:TheBigHouse"
"7","1929:TheDivorcee"
"8","1930:Cimarron"
"9","1930:GrandHotel"
"10","1930:TheFrontPage"
"11","1931:Arrowsmith"
"12","1931:BadGirl"
"13","1931:OneHourwithYou"
"14","1931:ShanghaiExpress"
"15","1931:TheChamp"
"16","1931:TheSmilingLieutenant"
"17","1932:42ndStreet"
"18","1932:AFarewelltoArms"
"19","1932:Cavalcade"
"20","1932:IAmaFugitivefromaChainGang"
"21","1932:LadyforaDay"
"22","1932:LittleWomen"
"23","1932:SheDoneHimWrong"
"24","1932:StateFair"
"25","1932:ThePrivateLifeofHenryVIII"
"26","1934:Cleopatra"
"27","1934:ImitationofLife"
"28","1934:ItHappenedOneNight"
"29","1934:TheBarrettsofWimpoleStreet"
"30","1934:TheGayDivorcee"
"31","1934:TheHouseofRothschild"
"32","1934:TheThinMan"
"33","1935:AliceAdams"
"34","1935:AMidsummerNight'sDream"
"35","1935:BroadwayMelodyof1936"
"36","1935:CaptainBlood"
"37","1935:DavidCopperfield"
"38","1935:LesMisérables"
"39","1935:MutinyontheBounty"
"40","1935:RugglesofRedGap"
"41","1935:TheInformer"
"42","1935:TheLivesofaBengalLancer"
"43","1935:TopHat"
"44","1936:ATaleofTwoCities"
"45","1936:Dodsworth"
"46","1936:LibeledLady"
"47","1936:Mr.DeedsGoestoTown"
"48","1936:RomeoandJuliet"
"49","1936:SanFrancisco"
"50","1936:TheGreatZiegfeld"
"51","1937:CaptainsCourageous"
"52","1937:DeadEnd"
"53","1937:InOldChicago"
"54","1937:LostHorizon"
"55","1937:StageDoor"
"56","1937:TheAwfulTruth"
"57","1937:TheGoodEarth"
"58","1937:TheLifeofEmileZola"
"59","1938:Alexander'sRagtimeBand"
"60","1938:BoysTown"
"61","1938:FourDaughters"
"62","1938:GrandIllusion"
"63","1938:Jezebel"
"64","1938:Pygmalion"
"65","1938:TestPilot"
"66","1938:TheAdventuresofRobinHood"
"67","1938:YouCan'tTakeItwithYou"
"68","1939:DarkVictory"
"69","1939:GonewiththeWind"
"70","1939:LoveAffair"
"71","1939:Mr.SmithGoestoWashington"
"72","1939:Ninotchka"
"73","1939:OfMiceandMen"
"74","1939:Stagecoach"
"75","1939:TheWizardofOz"
"76","1939:WutheringHeights"
"77","1940:ForeignCorrespondent"
"78","1940:KittyFoyle"
"79","1940:Rebecca"
"80","1940:TheGrapesofWrath"
"81","1940:TheGreatDictator"
"82","1940:TheLetter"
"83","1940:TheLongVoyageHome"
"84","1940:ThePhiladelphiaStory"
"85","1941:BlossomsintheDust"
"86","1941:CitizenKane"
"87","1941:HereComesMr.Jordan"
"88","1941:HowGreenWasMyValley"
"89","1941:SergeantYork"
"90","1941:Suspicion"
"91","1941:TheLittleFoxes"
"92","1941:TheMalteseFalcon"
"93","1942:49thParallel"
"94","1942:KingsRow"
"95","1942:Mrs.Miniver"
"96","1942:RandomHarvest"
"97","1942:TheMagnificentAmbersons"
"98","1942:ThePiedPiper"
"99","1942:ThePrideoftheYankees"
"100","1942:TheTalkoftheTown"
"101","1942:WakeIsland"
"102","1942:YankeeDoodleDandy"
"103","1943:ForWhomtheBellTolls"
"104","1943:HeavenCanWait"
"105","1943:InWhichWeServe"
"106","1943:MadameCurie"
"107","1943:TheHumanComedy"
"108","1943:TheMoretheMerrier"
"109","1943:TheOxBowIncident"
"110","1943:TheSongofBernadette"
"111","1943:WatchontheRhine"
"112","1944:DoubleIndemnity"
"113","1944:Gaslight"
"114","1944:GoingMyWay"
"115","1944:SinceYouWentAway"
"116","1945:AnchorsAweigh"
"117","1945:MildredPierce"
"118","1945:Spellbound"
"119","1945:TheBellsofSt.Mary's"
"120","1945:TheLostWeekend"
"121","1946:HenryV"
"122","1946:It'saWonderfulLife"
"123","1946:TheBestYearsofOurLives"
"124","1946:TheRazor'sEdge"
"125","1946:TheYearling"
"126","1947:Crossfire"
"127","1947:Gentleman'sAgreement"
"128","1947:GreatExpectations"
"129","1947:Miracleon34thStreet"
"130","1947:TheBishop'sWife"
"131","1948:JohnnyBelinda"
"132","1948:TheRedShoes"
"133","1948:TheSnakePit"
"134","1948:TheTreasureoftheSierraMadre"
"135","1949:ALettertoThreeWives"
"136","1949:AlltheKing'sMen"
"137","1949:Battleground"
"138","1949:TheHeiress"
"139","1949:TwelveO'ClockHigh"
"140","1950:AllAboutEve"
"141","1950:BornYesterday"
"142","1950:FatheroftheBride"
"143","1950:KingSolomon'sMines"
"144","1950:SunsetBoulevard"
"145","1951:AnAmericaninParis"
"146","1951:APlaceintheSun"
"147","1951:AStreetcarNamedDesire"
"148","1951:DecisionBeforeDawn"
"149","1951:QuoVadis"
"150","1952:HighNoon"
"151","1952:Ivanhoe"
"152","1952:MoulinRouge"
"153","1952:TheGreatestShowonEarth"
"154","1952:TheQuietMan"
"155","1953:FromHeretoEternity"
"156","1953:JuliusCaesar"
"157","1953:RomanHoliday"
"158","1953:Shane"
"159","1953:TheRobe"
"160","1954:OntheWaterfront"
"161","1954:SevenBridesforSevenBrothers"
"162","1954:TheCaineMutiny"
"163","1954:TheCountryGirl"
"164","1954:ThreeCoinsintheFountain"
"165","1955:LoveIsaManySplendoredThing"
"166","1955:Marty"
"167","1955:TheRoseTattoo"
"168","1956:AroundtheWorldin80Days"
"169","1956:FriendlyPersuasion"
"170","1956:Giant"
"171","1956:TheKingandI"
"172","1956:TheTenCommandments"
"173","1957:12AngryMen"
"174","1957:Sayonara"
"175","1957:TheBridgeontheRiverKwai"
"176","1957:WitnessfortheProsecution"
"177","1958:AuntieMame"
"178","1958:CatonaHotTinRoof"
"179","1958:Gigi"
"180","1958:SeparateTables"
"181","1958:TheDefiantOnes"
"182","1959:AnatomyofaMurder"
"183","1959:BenHur"
"184","1959:RoomattheTop"
"185","1959:TheDiaryofAnneFrank"
"186","1959:TheNun'sStory"
"187","1960:ElmerGantry"
"188","1960:TheAlamo"
"189","1960:TheApartment"
"190","1960:TheSundowners"
"191","1961:Fanny"
"192","1961:JudgmentatNuremberg"
"193","1961:TheGunsofNavarone"
"194","1961:TheHustler"
"195","1961:WestSideStory"
"196","1962:LawrenceofArabia"
"197","1962:MutinyontheBounty"
"198","1962:TheMusicMan"
"199","1962:ToKillaMockingbird"
"200","1963:AmericaAmerica"
"201","1963:Cleopatra"
"202","1963:HowtheWestWasWon"
"203","1963:LiliesoftheField"
"204","1963:TomJones"
"205","1964:Becket"
"206","1964:Dr.Strangeloveor:HowILearnedtoStopWorryingandLovetheBomb"
"207","1964:MaryPoppins"
"208","1964:MyFairLady"
"209","1964:ZorbatheGreek"
"210","1965:Darling"
"211","1965:DoctorZhivago"
"212","1965:TheSoundofMusic"
"213","1966:Alfie"
"214","1966:AManforAllSeasons"
"215","1966:TheSandPebbles"
"216","1967:BonnieandClyde"
"217","1967:DoctorDolittle"
"218","1967:GuessWho'sComingtoDinner"
"219","1967:IntheHeatoftheNight"
"220","1967:TheGraduate"
"221","1968:Oliver!"
"222","1968:RomeoandJuliet"
"223","1968:TheLioninWinter"
"224","1969:AnneoftheThousandDays"
"225","1969:ButchCassidyandtheSundanceKid"
"226","1969:MidnightCowboy"
"227","1970:Airport"
"228","1970:FiveEasyPieces"
"229","1970:MASH"
"230","1970:Patton"
"231","1971:AClockworkOrange"
"232","1971:FiddlerontheRoof"
"233","1971:TheFrenchConnection"
"234","1971:TheLastPictureShow"
"235","1972:Cabaret"
"236","1972:Deliverance"
"237","1972:Sounder"
"238","1972:TheGodfather"
"239","1973:AmericanGraffiti"
"240","1973:ATouchofClass"
"241","1973:CriesandWhispers"
"242","1973:TheExorcist"
"243","1973:TheSting"
"244","1974:Chinatown"
"245","1974:Lenny"
"246","1974:TheConversation"
"247","1974:TheGodfatherPartII"
"248","1974:TheToweringInferno"
"249","1975:BarryLyndon"
"250","1975:DogDayAfternoon"
"251","1975:Jaws"
"252","1975:Nashville"
"253","1975:OneFlewOvertheCuckoo'sNest"
"254","1976:AllthePresident'sMen"
"255","1976:Network"
"256","1976:Rocky"
"257","1976:TaxiDriver"
"258","1977:AnnieHall"
"259","1977:Julia"
"260","1977:StarWars"
"261","1977:TheGoodbyeGirl"
"262","1977:TheTurningPoint"
"263","1978:AnUnmarriedWoman"
"264","1978:ComingHome"
"265","1978:HeavenCanWait"
"266","1978:MidnightExpress"
"267","1978:TheDeerHunter"
"268","1979:AllThatJazz"
"269","1979:ApocalypseNow"
"270","1979:BreakingAway"
"271","1979:Kramervs.Kramer"
"272","1979:NormaRae"
"273","1980:CoalMiner'sDaughter"
"274","1980:OrdinaryPeople"
"275","1980:RagingBull"
"276","1980:TheElephantMan"
"277","1981:AtlanticCity"
"278","1981:ChariotsofFire"
"279","1981:OnGoldenPond"
"280","1981:RaidersoftheLostArk"
"281","1981:Reds"
"282","1982:E.T.theExtraTerrestrial"
"283","1982:Gandhi"
"284","1982:TheVerdict"
"285","1982:Tootsie"
"286","1983:TermsofEndearment"
"287","1983:TheBigChill"
"288","1983:TheDresser"
"289","1983:TheRightStuff"
"290","1984:Amadeus"
"291","1984:APassagetoIndia"
"292","1984:ASoldier'sStory"
"293","1984:PlacesintheHeart"
"294","1984:TheKillingFields"
"295","1985:KissoftheSpiderWoman"
"296","1985:Prizzi'sHonor"
"297","1985:TheColorPurple"
"298","1985:Witness"
"299","1986:ARoomwithaView"
"300","1986:ChildrenofaLesserGod"
"301","1986:HannahandHerSisters"
"302","1986:Platoon"
"303","1986:TheMission"
"304","1987:BroadcastNews"
"305","1987:FatalAttraction"
"306","1987:HopeandGlory"
"307","1987:Moonstruck"
"308","1987:TheLastEmperor"
"309","1988:DangerousLiaisons"
"310","1988:MississippiBurning"
"311","1988:RainMan"
"312","1988:TheAccidentalTourist"
"313","1988:WorkingGirl"
"314","1989:BornontheFourthofJuly"
"315","1989:DeadPoetsSociety"
"316","1989:DrivingMissDaisy"
"317","1989:FieldofDreams"
"318","1989:MyLeftFoot"
"319","1990:Awakenings"
"320","1990:DanceswithWolves"
"321","1990:Ghost"
"322","1990:TheGodfatherPartIII"
"323","1991:BeautyandtheBeast"
"324","1991:Bugsy"
"325","1991:JFK"
"326","1991:ThePrinceofTides"
"327","1991:TheSilenceoftheLambs"
"328","1992:AFewGoodMen"
"329","1992:HowardsEnd"
"330","1992:ScentofaWoman"
"331","1992:TheCryingGame"
"332","1993:IntheNameoftheFather"
"333","1993:Schindler'sList"
"334","1993:TheFugitive"
"335","1993:TheRemainsoftheDay"
"336","1994:ForrestGump"
"337","1994:FourWeddingsandaFuneral"
"338","1994:PulpFiction"
"339","1994:QuizShow"
"340","1994:TheShawshankRedemption"
"341","1995:Apollo13"
"342","1995:Babe"
"343","1995:Braveheart"
"344","1995:SenseandSensibility"
"345","1995:ThePostman(IlPostino)"
"346","1996:Fargo"
"347","1996:JerryMaguire"
"348","1996:Secrets&Lies"
"349","1996:Shine"
"350","1996:TheEnglishPatient"
"351","1997:AsGoodasItGets"
"352","1997:GoodWillHunting"
"353","1997:L.A.Confidential"
"354","1997:TheFullMonty"
"355","1997:Titanic"
"356","1998:Elizabeth"
"357","1998:LifeIsBeautiful"
"358","1998:SavingPrivateRyan"
"359","1998:ShakespeareinLove"
"360","1998:TheThinRedLine"
"361","1999:AmericanBeauty"
"362","1999:TheCiderHouseRules"
"363","1999:TheGreenMile"
"364","1999:TheInsider"
"365","1999:TheSixthSense"
"366","2000:Chocolat"
"367","2000:CrouchingTiger,HiddenDragon"
"368","2000:ErinBrockovich"
"369","2000:Gladiator"
"370","2000:Traffic"
"371","2001:ABeautifulMind"
"372","2001:GosfordPark"
"373","2001:IntheBedroom"
"374","2001:MoulinRouge!"
"375","2001:TheLordoftheRings:TheFellowshipoftheRing"
"376","2002:Chicago"
"377","2002:GangsofNewYork"
"378","2002:TheLordoftheRings:TheTwoTowers"
