"Key","word","n"
"1939:Dark Victory","ann",16
"1939:Gone with the Wind","ann",1
"1944:Since You Went Away","ann",27
"1945:Mildred Pierce","ann",2
"1950:All About Eve","ann",1
"1953:Roman Holiday","ann",2
"1957:The Bridge on the River Kwai","ann",1
"1966:A Man for All Seasons","ann",1
"1967:The Graduate","ann",1
"1970:M.A.S.H.","ann",1
"1971:The French Connection","ann",1
"1974:The Conversation","ann",11
"1980:The Elephant Man","ann",1
"1982:The Verdict","ann",6
"1983:Tender Mercies","ann",5
"1987:Fatal Attraction","ann",1
"1990:Awakenings","ann",1
"1993:The Fugitive","ann",1
"2000:Chocolat","ann",1
"2004:Ray","ann",4
"2005:Brokeback Mountain","ann",1
"2008:Milk","ann",2
"2009:The Blind Side","ann",13
"2012:Les Misérables","ann",1
"2017:Three Billboards Outside Ebbing, Missouri","ann",4
"2018:The Favourite","ann",55
"2019:Marriage Story","ann",1
"1939:Dark Victory","hors",7
"1939:Gone with the Wind","hors",5
"1940:Our Town","hors",1
"1941:Sergeant York","hors",3
"1942:The Ox-Bow Incident","hors",3
"1942:The Pride of the Yankees","hors",1
"1952:High Noon","hors",4
"1952:Ivanhoe","hors",2
"1956:Giant","hors",2
"1956:The Ten Commandments","hors",1
"1959:Ben-Hur","hors",3
"1960:The Alamo","hors",2
"1967:Doctor Dolittle","hors",9
"1969:Butch Cassidy and the Sundance Kid","hors",2
"1970:Patton","hors",1
"1971:Fiddler on the Roof","hors",1
"1972:The Godfather","hors",1
"1973:The Exorcist","hors",1
"1973:The Sting","hors",4
"1975:Barry Lyndon","hors",6
"1979:Norma Rae","hors",1
"1981:Raiders of the Lost Ark","hors",1
"1983:The Right Stuff","hors",2
"1990:Dances with Wolves","hors",6
"1991:Beauty and the Beast","hors",2
"1992:Unforgiven","hors",10
"1995:Sense and Sensibility","hors",1
"1997:Life Is Beautiful","hors",1
"1997:The Full Monty","hors",3
"1999:The Sixth Sense","hors",1
"2000:Crouching Tiger, Hidden Dragon","hors",2
"2002:The Lord of the Rings: The Two Towers","hors",3
"2003:Seabiscuit","hors",43
"2003:The Lord of the Rings: The Return of the King","hors",3
"2007:Michael Clayton","hors",3
"2008:Milk","hors",1
"2010:True Grit","hors",7
"2011:Midnight in Paris","hors",1
"2011:War Horse","hors",26
"2012:Django Unchained","hors",12
"2012:Zero Dark Thirty","hors",1
"2015:Mad Max: Fury Road","hors",1
"2015:The Revenant","hors",9
"2018:The Favourite","hors",2
"2019:Once Upon a Time... In Hollywood","hors",1
"1939:Dark Victory","tell",5
"1939:Gone with the Wind","tell",15
"1939:Mr. Smith Goes to Washington","tell",1
"1939:Of Mice and Men","tell",2
"1939:The Wizard of Oz","tell",2
"1940:Our Town","tell",3
"1940:Rebecca","tell",2
"1940:The Philadelphia Story","tell",1
"1941:Citizen Kane","tell",1
"1941:Here Comes Mr. Jordan","tell",1
"1941:Sergeant York","tell",27
"1941:Suspicion","tell",1
"1941:The Maltese Falcon","tell",8
"1942:Casablanca","tell",1
"1942:Kings Row","tell",4
"1942:The Ox-Bow Incident","tell",2
"1942:Wake Island","tell",1
"1943:Watch on the Rhine","tell",4
"1944:Double Indemnity","tell",4
"1944:Since You Went Away","tell",1
"1945:Anchors Aweigh","tell",2
"1945:Spellbound","tell",5
"1946:Great Expectations","tell",5
"1946:It's a Wonderful Life","tell",6
"1946:The Best Years of Our Lives","tell",5
"1947:The Bishop's Wife","tell",8
"1948:Hamlet","tell",2
